group	whole_count	whole_all
NADH-ubiquinone oxidoreductase-F iron-sulfur binding region	2591	7270730
NiFe/NiFeSe hydrogenase small subunit C-terminal	30	7270730
Ferredoxin thioredoxin reductase catalytic beta chain	84	7270730
Tryptophanase operon leader peptide	1	7270730
Immunity protein Imm2	2	7270730
FYVE/PHD zinc finger superfamily	175	7270730
RNHCP domain	148	7270730
Type II secretion system pilotin lipoprotein (PulS_OutS)	4	7270730
TATA-binding protein like	727	7270730
Chelatase Superfamily	112	7270730
KRAB box	57	7270730
Coiled-coil helix coiled-coil helix superfamily	280	7270730
Trafficking protein	102	7270730
HopJ type III effector protein	30	7270730
N-terminal segments of PfEMP1	10	7270730
Peptidyl-tRNA hydrolase II superfamily	114	7270730
DExH-box splicing factor binding site	92	7270730
Lactococcin G-beta	3	7270730
Flp pilus-biogenesis Tad-like superfamily	50	7270730
Bacterial Peptidase A24 N-terminal domain	20	7270730
SNARE domain	242	7270730
Leucine operon leader peptide	1	7270730
Phage protein C	3	7270730
Cytochrome b562	40	7270730
Na+-translocating membrane potential-generating system (MpsC)	40	7270730
GTP-binding GTPase N-terminal	7	7270730
Predicted membrane protein (DUF2085)	64	7270730
CNF1/YfiH-like putative cysteine hydrolases	98	7270730
Lantibiotic streptin immunity protein	3	7270730
Homeobox associated leucine zipper	69	7270730
"Aminoacid dehydrogenase-like, N-terminal domain superfamily"	24	7270730
Ferredoxin-like domain in Api92-like protein	47	7270730
ATP-grasp superfamily	1	7270730
Tropomyosin-like superfamily	1	7270730
PHB accumulation regulatory domain	610	7270730
Toxin with a conserved tryptophan and TIP tripeptide motif	4	7270730
Profilin-like superfamily	141	7270730
response regulator aspartate phosphatase H	1	7270730
Coiled-coil N-terminus of cGMP-dependent protein kinase	10	7270730
MurT ligase C-terminal	76	7270730
ATP synthase subunit H	48	7270730
Sirohaem synthase dimerisation region	134	7270730
Lactococcus bacteriophage repressor	14	7270730
Acyltransferase C-terminus	42	7270730
UpxZ family of transcription anti-terminator antagonists	8	7270730
MOFRL family	116	7270730
Homing endonuclease-like superfamily	138	7270730
Trimerisation motif	2	7270730
Transmembrane proteins 14C	202	7270730
Hemopexin	28	7270730
NOG1 N-temrinal helical domain superfamily	205	7270730
Bacteriophage 1.1 Protein	8	7270730
Histone-like Protein p6	23	7270730
Initiation factor eIF2 gamma	343	7270730
Kunitz/Bovine pancreatic trypsin inhibitor domain	151	7270730
Cyclin-like superfamily	532	7270730
Quinohemoprotein amine dehydrogenase	130	7270730
ORF D-335-like protein	20	7270730
Structural protein VP1/VP3	7	7270730
Microvirus J protein	1	7270730
Gliding motility-associated protein GldC-like	126	7270730
Dynamin GTPase effector domain	71	7270730
RPEL repeat	35	7270730
NiFe-hydrogenase-type-3 Eha complex subunit A	7	7270730
Fungal Zn(2)-Cys(6) binuclear cluster domain	13	7270730
FtsH ternary system domain X3-analog	95	7270730
L27 domain superfamily	41	7270730
Nup358/RanBP2 E3 ligase domain	4	7270730
Putative amino acid metabolism	7	7270730
Mitochondrial ATP synthase epsilon chain	40	7270730
Cystine-knot cytokine superfamily	10	7270730
FIP domain	3	7270730
Transducer of regulated CREB activity	3	7270730
FAM167	2	7270730
Pre-mRNA splicing factor	2	7270730
Yaf2/RYBP C-terminal binding motif	2	7270730
Transcription termination and cleavage factor C-terminal	9	7270730
SRCR-like	19	7270730
Fragile X-related 1 protein C-terminal region 2	1	7270730
BET superfamily	50	7270730
EGF superfamily	551	7270730
SOCS-box like superfamily	17	7270730
Kinase associated domain 1-like	80	7270730
F-box-like domain	242	7270730
Leucine rich repeat N-terminal domain	82	7270730
TSP1 superfamily	146	7270730
Trypsin Inhibitor like cysteine rich domain	14	7270730
Retroviral matrix superfamily	3	7270730
"Protein kinase C, C1 domain"	119	7270730
Actin depolymerizing Factor	42	7270730
GTF2I-like repeat	6	7270730
Small integral membrane protein 3	2	7270730
FF domain	16	7270730
EPTP domain	43	7270730
NAC domain	66	7270730
post-AAA+ oligomerization domain-like superfamily	303	7270730
LIM interaction domain (LID)	7	7270730
E3 gp78 Ube2g2-binding region (G2BR)	1	7270730
TB domain	9	7270730
Cyclin-dependent kinase regulatory subunit	30	7270730
C8 domain	7	7270730
WWE domain	53	7270730
WH2 motif	10	7270730
Chromosome passenger complex (CPC) protein INCENP N terminal	1	7270730
N-terminal EH-domain containing protein	9	7270730
Small acidic protein family	9	7270730
Eukaryotic elongation factor 1 beta central acidic region	5	7270730
Tri-helix bundle domain	1	7270730
Thyroid cancer protein 1	1	7270730
Oestrogen-type nuclear receptor final C-terminal	1	7270730
BRK domain	17	7270730
Nebulin repeat	3	7270730
E3 ubiquitin-protein ligase makorin	1	7270730
Calponin family repeat	18	7270730
Bacteriophage T4 MotA	2	7270730
C-type lectin-like superfamily	46	7270730
Kinesin protein 1B	10	7270730
Stannin transmembrane	1	7270730
Stannin unstructured linker	1	7270730
Stannin cytoplasmic	1	7270730
Dexamethasone-induced	2	7270730
Potential DNA-binding domain	3	7270730
RIIa-like fold	449	7270730
PFL-like glycyl radical enzyme superfamily	48	7270730
Phage late-transcription coactivator	4055	7270730
Oligosaccharyltransferase subunit 5	22	7270730
DNA clamp superfamily	507	7270730
Mitotic-spindle organizing gamma-tubulin ring associated	82	7270730
FATC domain	192	7270730
Tctex-1 family	62	7270730
5'-AMP-activated protein kinase beta subunit	19	7270730
Annexin	294	7270730
Interferon-induced 6-16 family	18	7270730
T-complex protein 10 C-terminus	43	7270730
SRF-type transcription factor (DNA-binding and dimerisation domain)	156	7270730
LITAF-like zinc ribbon domain	50	7270730
Granulin	16	7270730
STI1 domain	120	7270730
PUB domain	16	7270730
Oligosaccaryltransferase	36	7270730
Superinfection exclusion gene product 17	55	7270730
Poly-adenylate binding protein	154	7270730
OstA superfamily	26	7270730
Ubiquitin-activating enzyme E1 four-helix bundle	4	7270730
YL1 nuclear protein C-terminal domain	38	7270730
CCCH-zinc finger	204	7270730
Primase C terminal 2 (PriCT-2)	105	7270730
ATP synthase epsilon subunit	3	7270730
GNL3L/Grn1 putative GTPase	10	7270730
PX domain	38	7270730
Proteasome assembly chaperone 4	7	7270730
Ectodermal ciliogenesis protein	47	7270730
Phage Mu protein F like protein	84	7270730
Release factor superfamily	34	7270730
C4-type zinc-finger of DNA polymerase delta	20	7270730
Coenzyme F420 hydrogenase/dehydrogenase	26	7270730
Prefoldin	100	7270730
POZ domain superfamily	72	7270730
TRF2-interacting telomeric protein/Rap1 - C terminal domain	8	7270730
Calmodulin-binding	42	7270730
T4 RNA ligase 2 C-terminal	47	7270730
B-box zinc finger	30	7270730
Dolichol-phosphate mannosyltransferase subunit 3 (DPM3)	33	7270730
Cilia BBSome complex subunit 10	22	7270730
Flagellar assembly protein T	290	7270730
Microsomal signal peptidase 12 kDa subunit (SPC12)	45	7270730
26S proteasome non-ATPase regulatory subunit RPN1 C-terminal	83	7270730
Sas10 C-terminal domain	49	7270730
Kix domain of CBP (creb binding protein) and MED13/15	6	7270730
C2 superfamily	34	7270730
Splicing factor 3B subunit 10 (SF3b10)	48	7270730
Tesmin/TSO1-like CXC domain	17	7270730
Bacterial toxin 44	21	7270730
Sperm-tail PG-rich repeat	6	7270730
Arginyl tRNA synthetase N terminal domain	22	7270730
Polo-box superfamily	97	7270730
LCCL-domain like	33	7270730
Hairy Orange	1	7270730
Six-hairpin glycosidase superfamily	325	7270730
NOP5NT (NUC127) domain	54	7270730
Paired amphipathic helix repeat	36	7270730
SNARE-fusion membrane complex superfamily	78	7270730
DNase I-like	76	7270730
Erv1 / Alr family	28	7270730
Vacuolar sorting protein 9 (VPS9) domain	6	7270730
Phage tail like superfamily	40	7270730
DNA ligase IV	38	7270730
Bromodomain	54	7270730
Chromosome segregation protein Spc25	33	7270730
Proteasome regulatory subunit C-terminal	50	7270730
DNA polymerase beta thumb	285	7270730
LsmAD domain	13	7270730
STIV B116-like	54	7270730
BTK motif	4	7270730
Disulfide bond isomerase protein N-terminus	14	7270730
FeoB cytosolic helical domain	3	7270730
GRAB domain	4	7270730
Sperm tail C-terminal domain	22	7270730
Dihydroneopterin aldolase	25	7270730
Pre-mRNA-splicing factor SF3a complex subunit 2 (Prp11)	2	7270730
Eukaryotic translation initiation factor 2 alpha subunit	1	7270730
Uncharacterized protein conserved in archaea (DUF2111)	12	7270730
Apolipoprotein CIII (Apo-CIII)	1	7270730
C-terminal region of MMR_HSR1 domain	14	7270730
Viral DNA-binding protein	1	7270730
C-terminal topoisomerase domain	160	7270730
Stage II sporulation protein	10	7270730
Spin-doc zinc-finger	1	7270730
Transactive response DNA-binding protein N-terminal domain	9	7270730
TSC-22/dip/bun family	9	7270730
C-terminal associated domain of TOPRIM	1	7270730
VirE N-terminal domain	1	7270730
Sof1-like domain	16	7270730
Plexin fold superfamily	9	7270730
Pre-toxin TG	2	7270730
DAD family	3	7270730
MrfA Zn-binding domain	255	7270730
GMC oxidoreductase	5	7270730
Sin3 binding region of histone deacetylase complex subunit SAP30	13	7270730
C-terminal domain of cyclic nucleotide phosphodiesterase	7	7270730
Glycosyl transferase clan GT-A	56	7270730
Alpha crystallin A chain	1	7270730
Ubiquinol-cytochrome C reductase hinge protein	40	7270730
Pancreatic hormone peptide	9	7270730
G0/G1 switch protein 2	1	7270730
Cortexin of kidney	2	7270730
Putative zinc finger in N-recognin (UBR box)	4	7270730
Predicted pPIWI-associating nuclease	5	7270730
Nucleotide cyclase superfamily	6	7270730
Helix-loop-helix DNA-binding domain	73	7270730
Probable RNA and SrmB- binding site of polymerase A	18	7270730
GPCR autoproteolysis inducing	10	7270730
Nicotinate phosphoribosyltransferase C-terminal domain	86	7270730
Positive regulator of sigma(E)	8	7270730
Serine-threonine protein phosphatase N-terminal domain	150	7270730
Type II secretion system (T2SS)	76	7270730
CHORD	21	7270730
Ubiquitin fold domain	44	7270730
MCM6 C-terminal winged-helix domain	19	7270730
Vacuolar protein sorting protein 11 C terminal	34	7270730
OAR motif	7	7270730
Carnitine O-palmitoyltransferase N-terminus	4	7270730
Heat shock factor binding protein 1	37	7270730
FucI/AraA C-terminal domain-like [50443]	45	7270730
FtsH Extracellular	9	7270730
Acyl carrier protein phosphodiesterase	13	7270730
Translation machinery associated TMA7	20	7270730
Cas3 C-terminal domain	7	7270730
Novel Ras effector 1 C-terminal SARAH (Sav/Rassf/Hpo) domain	3	7270730
Bacteriophage T7	19	7270730
FidL-like putative membrane protein	4	7270730
Prolamin	55	7270730
DPF1-3	1	7270730
Late embryogenesis abundant protein 18	5	7270730
Serum amyloid A protein	1	7270730
Nickel-containing superoxide dismutase	28	7270730
Damage-inducible protein CinA KH domain	48	7270730
Protocatechuate 3	4	7270730
Single domain von Willebrand factor type C	1	7270730
Cyanophycin synthase-like N-terminal domain	2	7270730
CCCH zinc finger in TRM13 protein	29	7270730
GTP cyclohydrolase II	262	7270730
MurF and HprK N-domain-like superfamily	4	7270730
ATP synthase complex subunit h	16	7270730
Heat shock protein 9/12	10	7270730
Photosystem II 10 kDa polypeptide PsbR	2	7270730
Concanavalin-like lectin/glucanase superfamily	28	7270730
Nucleoplasmin-like/VP (viral coat and capsid proteins) superfamily	9	7270730
Type III R-M EcoP15I C-terminal domain	21	7270730
Delta endotoxin	3	7270730
Thioester domain	1	7270730
Inhibitor of toxin/antitoxin system (Gp4.5)	4	7270730
ORF6C domain	6	7270730
Centrosome localisation domain of PPC89	3	7270730
GRIP domain	48	7270730
Barrier to autointegration factor	16	7270730
Antitoxin to bacterial toxin RNase LS or RnlA	13	7270730
von Willebrand factor type A	121	7270730
Resuscitation-promoting factor Rpf1	3	7270730
Spi protease inhibitor	3	7270730
Bladder cancer-related protein BC10	8	7270730
MerC mercury resistance protein	24	7270730
Glycosyl-4	9	7270730
Riboflavin kinase	14	7270730
"TolB, N-terminal domain"	4	7270730
Thiol-activated cytolysin beta sandwich domain	7	7270730
Cytochrome oxidase c subunit VIII	3	7270730
Cytochrome c oxidase subunit VII	13	7270730
Rep-like domain	5	7270730
Target recognition domain of lytic exoenzyme	3	7270730
MlaD protein	26	7270730
PWI domain	33	7270730
E7 protein	103	7270730
HAS-barrel superfamily	134	7270730
Deoxyribonuclease NucA/NucB	7	7270730
DNA packaging protein	13	7270730
FRG domain	3	7270730
Mycobacterial 4 TMS phage holin	142	7270730
Putative heavy-metal chelation	7	7270730
RNA polymerase inhibitor	17	7270730
Leucine zipper with capping helix domain	34	7270730
Novel toxin 17	5	7270730
Phage protein GP46	1	7270730
PFK-like superfamily	1	7270730
Galactose Mutarotase-like superfamily	18	7270730
Threonine synthase N terminus	27	7270730
Immunity protein 45	9	7270730
Dof domain	3	7270730
Mu B transposition protein	12	7270730
Immunity protein 26	6	7270730
POTRA domain superfamily	71	7270730
YejG-like protein	1	7270730
CGGC domain	32	7270730
Bacteriophage Mu	14	7270730
Helix-two-turns-helix superfamily	1	7270730
Phage Single-stranded DNA-binding protein	8	7270730
Temperature dependent protein affecting M2 dsRNA replication	4	7270730
FliW protein	3	7270730
CRM1 / Exportin repeat 2	4	7270730
Archaeal Nre	43	7270730
Nuclease inhibitor from bacteriophage T4	4	7270730
NADH-ubiquinone reductase complex 1 MLRQ subunit	23	7270730
tRNA-methyltransferase O	12	7270730
NADH ubiquinone oxidoreductase	13	7270730
Rpp14/Pop5 family	110	7270730
Archaeal Peptidase A24 C-terminus Type II	54	7270730
NOGCT (NUC087) domain	9	7270730
SNARE associated Golgi protein	17	7270730
Putative phage abortive infection protein	18	7270730
Bacteriophage T7-like gene 6.5	13	7270730
Bacterial toxin 8	6	7270730
VMA21-like domain	30	7270730
DBP10CT (NUC160) domain	3	7270730
CW-type Zinc Finger	16	7270730
Chlamydia-phage Chp2 scaffold (Chlamy_scaf)	1	7270730
Large polyvalent protein associated domain 26	7	7270730
NFACT protein C-terminal domain	2	7270730
Histidine kinase	7	7270730
TerY-C metal binding domain	1	7270730
Thymosin beta-4 family	10	7270730
Outer membrane protein SusF_SusE	6	7270730
Adenovirus E3B protein	4	7270730
Carbohydrate binding module 77	20	7270730
ASPIC and UnbV	4488	7270730
OCRE domain	18	7270730
von Willebrand Factor like superfamily	8	7270730
Low-density lipoprotein receptor domain class A	130	7270730
ATPase inhibitor subunit zeta	140	7270730
Lsm C-terminal	108	7270730
Adenosine-5'-phosphosulfate reductase beta subunit	297	7270730
Respiratory-chain NADH dehydrogenase	12	7270730
Mago binding	3	7270730
2-oxoglutarate dehydrogenase N-terminus	27	7270730
PGF-CTERM motif	259	7270730
DNA-binding nuclear phosphoprotein p8	12	7270730
Plug domain of Sec61p	24	7270730
NTN hydrolase superfamily	105	7270730
TFIIS helical bundle-like domain	36	7270730
LisH-like	69	7270730
Small subunit of serine palmitoyltransferase-like	5	7270730
Outer membrane protein TOM13	2	7270730
Hr1 repeat	26	7270730
Saposin-like superfamily	47	7270730
Catechol dioxygenase N terminus	17	7270730
NUC130/3NT domain	16	7270730
N terminus of Rad21 / Rec8 like protein	19	7270730
Multiprotein bridging factor 1	6	7270730
Histone chaperone domain CHZ	25	7270730
RNA helicase UPF1	2	7270730
HIND motif	26	7270730
U3 small nucleolar RNA-associated protein 10	2	7270730
ComG operon protein 7	4	7270730
Inhibitor of growth proteins N-terminal histone-binding	2	7270730
TOM7 family	20	7270730
Pet100	22	7270730
Late secretory pathway transport machinery	1	7270730
Rapamycin-insensitive companion of mTOR	6	7270730
ATP-utilising chromatin assembly and remodelling N-terminal	2	7270730
Exosome complex exonuclease Rrp40 N-terminal domain	7	7270730
C-terminal of NADH-ubiquinone oxidoreductase 21 kDa subunit	18	7270730
Transcriptional regulator DsbA	590	7270730
BAG domain	17	7270730
Glucose-repressible protein Grg1	15	7270730
PAN-like	226	7270730
Sterol methyltransferase C-terminal	53	7270730
Rabenosyn Rab binding domain	24	7270730
Protease propeptides/inhibitors	36	7270730
Rpn9 C-terminal helix	37	7270730
Ribosome-assembly protein 3	16	7270730
Phosphatidylinositol N-acetylglucosaminyltransferase subunit Y	36	7270730
Mitochondrial export protein Som1	18	7270730
Golgi-transport	3	7270730
ETC complex I subunit conserved region	11	7270730
DNA repair protein REV1 C-terminal domain	8	7270730
NADH-ubiquinone oxidoreductase-G iron-sulfur binding region	23	7270730
mRNA biogenesis factor	1	7270730
N-terminal extension of GAT domain	6	7270730
Argonaute linker 2 domain	21	7270730
Methyltransferase involved in Williams-Beuren syndrome	16	7270730
eIF3 subunit M	25	7270730
Uncharacterized protein conserved in bacteria (DUF2237)	14	7270730
Mitochondrial import 2	21	7270730
EB1-like C-terminal motif	58	7270730
PT repeat	11	7270730
Integrin beta cytoplasmic domain	3	7270730
Archaeal glycosylation protein B long peripheral domain	31	7270730
Casein kinase substrate phosphoprotein PP28	1	7270730
Ubiquinol-cytochrome C reductase complex	1	7270730
Ribosome associated membrane protein RAMP4	35	7270730
XS zinc finger domain	7	7270730
ELK domain	14	7270730
Seed dormancy control	20	7270730
Sphingolipid Delta4-desaturase (DES)	8	7270730
Actin-binding domain of plant-specific actin-binding protein	4	7270730
Phospholipase D C terminal	26	7270730
KHA	13	7270730
N-terminal domain of CBF1 interacting co-repressor CIR	14	7270730
LTXXQ-like superfamily	444	7270730
Small outer capsid protein	10	7270730
Phage Tail fiber assembly helper gene product 57	11	7270730
Bacteriophage T7 virion assembly protein	11	7270730
Surp module	27	7270730
Conserved hypothetical protein (Lin0512_fam)	47	7270730
DUF1735-like superfamily	3	7270730
Splicing factor SF3a60 binding domain	13	7270730
MACRO domain superfamily	4	7270730
AWS domain	1	7270730
Alanine racemase	14	7270730
HELP motif	9	7270730
Small metal-binding protein	7	7270730
EAD1-like clan	73	7270730
VPDSG-CTERM motif	174	7270730
Aminoarabinose transferase C-terminal domain	150	7270730
Phenylphosphate carboxylase gamma subunit (Phenyl_P_gamma)	15	7270730
Putative metal-binding motif	50	7270730
Type IV pilus assembly protein PilX C-term	54	7270730
Integron Cassette Protein Hfx_Cass5	24	7270730
Electron transfer DM13	284	7270730
Kazal like domain	106	7270730
PA14 superfamily	18	7270730
Cytochrome P460	33	7270730
zinc-finger-containing domain	5	7270730
Tetrahydrodipicolinate N-succinyltransferase middle	3	7270730
Transcription factor e(y)2	20	7270730
FAM210A/B-like domain	75	7270730
URI fold toxin 2	9	7270730
Putative DNA-binding domain	22	7270730
Nematode cuticle collagen N-terminal domain	21	7270730
7	2	7270730
Yos1-like	29	7270730
SGS domain	20	7270730
Putative zinc-finger domain	6	7270730
Type III restriction/modification enzyme methylation subunit	7	7270730
Anticodon nuclease activator family	3	7270730
MCM N-terminal domain	1	7270730
Neutral trehalase Ca2+ binding domain	11	7270730
Acyl-CoA dehydrogenase	25	7270730
NF-kappa-B-activating protein C-terminal domain	22	7270730
SET domain	265	7270730
U3 small nucleolar RNA-associated protein 6	2	7270730
Sas10/Utp3/C1D family	3	7270730
RecX family	75	7270730
UvrA interaction domain	1	7270730
SEP domain	9	7270730
Discriminator of mRNA degradation	11	7270730
COMM domain	57	7270730
Replication Fork Protection Component Swi3	1	7270730
PHF5-like protein	4	7270730
MIT (microtubule interacting and transport) domain	26	7270730
Bucentaur or craniofacial development	27	7270730
TB2/DP1	10	7270730
Aromatic-ring-opening dioxygenase LigAB	642	7270730
Titin Z	1	7270730
HMG14 and HMG17	1	7270730
PSP	9	7270730
Inner centromere protein	3	7270730
Calponin homology domain	21	7270730
Short coiled-coil protein	6	7270730
DASH complex subunit Dam1	28	7270730
Mitochondrial ATP synthase g subunit	13	7270730
BSD domain	14	7270730
Transcription factor Tfb2 (p52) C-terminal domain	29	7270730
von Willebrand factor type A C-terminal domain	242	7270730
CVNH domain	8	7270730
Bacterial tandem repeat domain 1	48	7270730
CHRD domain	156	7270730
Dickkopf N-terminal cysteine-rich region	8	7270730
Copper chaperone PCu(A)C	73	7270730
Nitrogen fixation protein NifW	6	7270730
JAB-like superfamily	29	7270730
hAT family C-terminal dimerisation region	155	7270730
Ferredoxin / Ferric reductase-like NAD binding	27	7270730
Iron/zinc purple acid phosphatase-like protein C	60	7270730
Hinge domain of cleavage stimulation factor subunit 2	1	7270730
Cytochrome C oxidase subunit II	11	7270730
YopX protein	8	7270730
Uncharacterized protein conserved in bacteria (DUF2322)	17	7270730
Poly-beta-hydroxybutyrate polymerase N terminal	7	7270730
DNA_binding protein	21	7270730
Leech antihemostatic protein superfamily	6	7270730
e3 binding domain	186	7270730
PGDYG protein	34	7270730
F/Y-rich N-terminus	6	7270730
Transcription activator MBF2	2	7270730
Adenovirus late L2 mu core protein (Protein X)	1	7270730
Cid1 family poly A polymerase	16	7270730
Coiled stalk of trimeric autotransporter adhesin	6	7270730
Cytochrome c oxidase assembly protein COX16	36	7270730
Predicted membrane protein (DUF2335)	4	7270730
Endoplasmic Reticulum-Golgi Intermediate Compartment (ERGIC)	6	7270730
Prp19/Pso4-like	7	7270730
Coronavirus ORF3 protein	3	7270730
EvpB/VC_A0108	32	7270730
Polysaccharide biosynthesis/export protein	28	7270730
SRP40	29	7270730
Uncharacterized protein conserved in bacteria (DUF2141)	29	7270730
Cytokine-induced anti-apoptosis inhibitor 1	6	7270730
Phosphorylated adapter RNA export protein	8	7270730
C-terminal domain of metallo-carboxypeptidase	5	7270730
NADH dehydrogenase 1 alpha subcomplex subunit 3	5	7270730
CCAAT-binding transcription factor (CBF-B/NF-YA) subunit B	3	7270730
Phage tail repeat like	3	7270730
DNA-binding pseudo-barrel domain	23	7270730
PAT complex subunit Asterix	5	7270730
Mib_herc2	45	7270730
Repeat in HS1/Cortactin	7	7270730
PDZ domain of MCC-2 bdg protein for Usher syndrome	2	7270730
Selenocysteine synthase N terminal	7	7270730
PcfK-like protein	4	7270730
Ferrous iron transport protein B C terminus	4	7270730
Brf1-like TBP-binding domain	1	7270730
Mur ligase family	4	7270730
Head assembly gene product	5	7270730
Short tail fibre protein receptor-binding domain	2	7270730
dDENN domain	12	7270730
Hormone receptor domain	7	7270730
Enhancer of rudimentary	8	7270730
Deacetylase PdaC	1	7270730
Phage P2 GpU	4	7270730
Pepsin inhibitor-3-like repeated domain	2	7270730
Ataxin-2 C-terminal region	6	7270730
Copper resistance protein ScsC N-terminal domain	4	7270730
Collagenase	7	7270730
Stealth protein CR3	3	7270730
STIR superfamily	4	7270730
Bacteriophage FRD3 protein	7	7270730
Exosome complex exonuclease RRP4 N-terminal region	14	7270730
KRI1-like family C-terminal	2	7270730
UPF0767 family	12	7270730
FokI	1	7270730
YadA head domain repeat (2 copies)	5	7270730
Zinc binding domain	8	7270730
NOTCH protein	1	7270730
Peptidase family C1 propeptide	8	7270730
Primase zinc finger	11	7270730
Dimerisation domain of d-ornithine 4	2	7270730
Centrosomin N-terminal motif 1	3	7270730
CRISPR-associated protein (Cas_Cmr5)	1	7270730
FmdE	3	7270730
Galactose binding lectin domain	45	7270730
PSP1 C-terminal conserved region	3	7270730
Cobalamin biosynthesis central region	20	7270730
Ribonucleotide reductase	6	7270730
DNA polymerase III gamma and tau subunits C terminal	16	7270730
Cathepsin propeptide inhibitor domain (I29)	72	7270730
GEVED domain	5	7270730
Growth-Arrest-Specific Protein 2 Domain	28	7270730
YceI-like domain	154	7270730
Bacterial type II/III secretion system short domain	89	7270730
PaaX-like protein C-terminal domain	102	7270730
Triple barrel superfamily	2	7270730
Patatin phospholipase	24	7270730
EXPERA (EXPanded EBP superfamily)	8	7270730
Cytochrome C'	48	7270730
Phage gene product 45.2	10	7270730
DnaG-primase C-terminal	1	7270730
Integron cassette protein VCH_CASS1 chain	4	7270730
Putative zinc-finger of transcription factor IIIC complex	5	7270730
Gene product 67	2	7270730
Replication protein C C-terminal region	22	7270730
Mannan-binding protein	9	7270730
PRD1 phage membrane DNA delivery	49	7270730
Mating-type protein beta 1	1	7270730
Bacterial adhesin superfamily	2	7270730
Swi5	3	7270730
Cytochrome oxidase c assembly	15	7270730
UcrQ-like	34	7270730
DAP epimerase superfamily	5	7270730
DASH complex subunit Dad4	5	7270730
DASH complex subunit Dad3	1	7270730
GAD domain superfamily	5	7270730
Polyomavirus agnoprotein	3	7270730
ALTTAQ repeat	7	7270730
Bacterial transglutaminase-like N-terminal region	9	7270730
NAD-kinase beta sandwich domain superfamily	4	7270730
Type IV Pilus-assembly protein W	25	7270730
2-thiouracil desulfurase	2	7270730
Tegument protein UL11 homolog	1	7270730
Cache-like domain	66	7270730
Phage protein Gp19/Gp15/Gp42	4	7270730
Mitochondrial ATP synthase coupling factor 6	1	7270730
Stringent starvation protein B	4	7270730
Iron-containing outer mitochondrial membrane protein N-terminus	2	7270730
RloB-like protein	2	7270730
Alstrom syndrome repeat	1	7270730
Peptidase S41 N-terminal domain	7	7270730
Bacteriophage lambda head decoration protein D	5	7270730
Fantastic Four meristem regulator	5	7270730
Anti-Sigma Factor A	10	7270730
Leucine-zipper of ternary complex factor MIP1	3	7270730
GAT domain	5	7270730
Cytochrome c oxidase subunit VIIc	2	7270730
TcpE family	3	7270730
MASE2 domain	1	7270730
Photoprotection regulator fluorescence recovery protein	5	7270730
KfrB protein	1	7270730
Peptidase clan SH	3	7270730
Streptococcal histidine triad protein	3	7270730
Large polyvalent protein-associated domain 18	10	7270730
PrmC N-terminal domain	14	7270730
Nse4 C-terminal	3	7270730
A-agglutinin-binding subunit Aga2	1	7270730
GGL domain	23	7270730
ERMES regulator 1	1	7270730
Tap RepA1 leader peptide	1	7270730
Required for nuclear transport of RNA pol II C-terminus 2	9	7270730
RlmM ferredoxin-like domain	1	7270730
DUF1214-like	36	7270730
FtsH ternary system-associated peptide	17	7270730
N-formyltransferase dimerization C-terminal domain	38	7270730
Tryptophan-rich Synechocystis species C-terminal domain	5	7270730
UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase	4	7270730
Type VI secretion system (T6SS)	4	7270730
Hemerythrin HHE cation binding domain	1	7270730
ATP synthase E chain	3	7270730
Glucitol operon activator protein (GutM)	2	7270730
NADAR domain	4	7270730
Bacteriophage FRD2 protein	1	7270730
DSS1/SEM1 family	8	7270730
DivIVA protein	1	7270730
Mitochondrial mRNA-processing protein COX24	11	7270730
Wound-induced protein	47	7270730
Putative bacterial toxin ydaT	2	7270730
Luciferase helical bundle domain	1	7270730
Transmembrane family 220	31	7270730
Glycosyl hydrolase family 79 C-terminal beta domain	21	7270730
Transferrin receptor-like dimerisation domain	4	7270730
Cytochrome b(C-terminal)/b6/petD	34	7270730
Nuclease A inhibitor-like protein	1	7270730
Cysteine rich repeat	64	7270730
Las17-binding protein actin regulator	15	7270730
Uncharacterized conserved protein (DUF2203)	55	7270730
FAD dependent oxidoreductase central domain	16	7270730
Calcium binding	128	7270730
Acetone carboxylase gamma subunit	32	7270730
Tc5 transposase C-terminal domain	1	7270730
Hypothetical protein TT1725	38	7270730
Thrombin inhibitor Madanin	2	7270730
Bacterial membrane protein N terminal	8	7270730
Cyclin D1 binding domain	5	7270730
Chromate resistance exported protein	4	7270730
Bifunctional nuclease domain	19	7270730
Csm1 N-terminal domain	11	7270730
PmbA/TldA metallopeptidase domain 1	14	7270730
LOR/SDH bifunctional enzyme conserved region	23	7270730
MHC antigen-recognition domain	4	7270730
Methylamine dehydrogenase	7	7270730
SLA1 homology domain 1	22	7270730
OST-HTH Associated domain	2	7270730
E2 binding domain	25	7270730
Primase X	6	7270730
Nitrosopumilus output domain 5	8	7270730
Cell division protein FtsQ/DivIB	6	7270730
RS4NT (NUC023) domain	10	7270730
Type 5 capsule protein repressor C-terminal domain	10	7270730
Sec14-like superfamily of golgi trafficking	1	7270730
Dip2/Utp12 Family	7	7270730
SNAP-25 family	2	7270730
Bacterial toxin 28	4	7270730
Integrase Zinc binding domain	4	7270730
Chloroplast protein precursor Ycf15 putative	6	7270730
Biopolymer transport protein ExbD/TolR	12	7270730
Bridge helix of CRISPR-associated endonuclease Cas9	2	7270730
